epoch,accuracy,loss,val_accuracy,val_loss
0,0.92513424,0.30811780404598366,0.9241283,0.24649144594246808
1,0.92520326,0.24331383007877277,0.9241283,0.24003354652000108
2,0.92520326,0.238131151673051,0.9241283,0.23578051460195423
3,0.92520326,0.23534721207227383,0.9241283,0.2336498824689945
4,0.92520326,0.23471209110749575,0.9241283,0.23336304609124425
5,0.92520326,0.2343089533855184,0.9241283,0.233723571461192
6,0.92520326,0.233418361777944,0.9241283,0.23302323246627968
7,0.92520326,0.23242284488387224,0.9241283,0.23394901376103827
8,0.92520326,0.23299681852978968,0.9241283,0.2332505110667427
9,0.92520326,0.23291250038117714,0.9241283,0.2330544472365214
