epoch,accuracy,loss,val_accuracy,val_loss
0,0.9246121,0.27887737563912524,0.9254322,0.23655838627077852
1,0.9246658,0.23877969224894466,0.9254322,0.23536904488637722
2,0.9246658,0.23582886138099007,0.9254322,0.23126296893274897
3,0.9246658,0.2350005728539051,0.9254322,0.228190042944714
4,0.9246658,0.23423976520058923,0.9254322,0.22815807178687614
5,0.9246658,0.23443060472412974,0.9254322,0.2286336671790558
6,0.9246658,0.2341656657262755,0.9254322,0.22847667293032972
7,0.9246658,0.23452147491334152,0.9254322,0.22806699613881587
8,0.9246658,0.23426386418939116,0.9254322,0.2274861290439906
9,0.9246658,0.23378460016920924,0.9254322,0.2297641098934522
10,0.9246658,0.23395433960438292,0.9254322,0.22810638839677455
11,0.9246658,0.23363036454896077,0.9254322,0.23040325167155737
