WARNING : 2019-11-09 22:16:15,071 : cannot get 2015/11 data
WARNING : 2019-11-09 22:16:15,072 : cannot get 2015/12 data
WARNING : 2019-11-09 22:16:15,072 : cannot get 2016/1 data
WARNING : 2019-11-09 22:16:15,072 : cannot get 2016/2 data
WARNING : 2019-11-09 22:16:15,073 : cannot get 2016/3 data
WARNING : 2019-11-09 22:16:15,073 : cannot get 2016/4 data
WARNING : 2019-11-09 22:16:15,074 : cannot get 2016/5 data
WARNING : 2019-11-09 22:16:15,074 : cannot get 2016/6 data
WARNING : 2019-11-09 22:16:15,074 : cannot get 2016/7 data
WARNING : 2019-11-09 22:16:15,074 : cannot get 2016/8 data
WARNING : 2019-11-09 22:16:15,075 : cannot get 2016/9 data
WARNING : 2019-11-09 22:16:15,075 : cannot get 2016/10 data
WARNING : 2019-11-09 22:16:15,075 : cannot get 2016/11 data
WARNING : 2019-11-09 22:16:15,076 : cannot get 2016/12 data
WARNING : 2019-11-09 22:16:15,076 : cannot get 2017/1 data
WARNING : 2019-11-09 22:16:15,077 : cannot get 2017/2 data
WARNING : 2019-11-09 22:16:15,077 : cannot get 2017/3 data
WARNING : 2019-11-09 22:16:15,077 : cannot get 2017/4 data
WARNING : 2019-11-09 22:16:15,077 : cannot get 2017/5 data
WARNING : 2019-11-09 22:16:15,078 : cannot get 2017/6 data
WARNING : 2019-11-09 22:16:15,078 : cannot get 2017/7 data
WARNING : 2019-11-09 22:16:15,078 : cannot get 2017/8 data
WARNING : 2019-11-09 22:16:15,079 : cannot get 2017/9 data
WARNING : 2019-11-09 22:16:15,079 : cannot get 2017/10 data
WARNING : 2019-11-09 22:16:15,079 : cannot get 2017/11 data
WARNING : 2019-11-09 22:16:15,079 : cannot get 2017/12 data
WARNING : 2019-11-09 22:16:15,080 : cannot get 2018/1 data
WARNING : 2019-11-09 22:16:15,080 : cannot get 2018/2 data
WARNING : 2019-11-09 22:16:15,080 : cannot get 2018/3 data
WARNING : 2019-11-09 22:16:15,081 : cannot get 2018/4 data
WARNING : 2019-11-09 22:16:15,081 : cannot get 2018/5 data
WARNING : 2019-11-09 22:16:15,081 : cannot get 2018/6 data
WARNING : 2019-11-09 22:16:15,082 : cannot get 2018/7 data
WARNING : 2019-11-09 22:16:15,082 : cannot get 2018/8 data
WARNING : 2019-11-09 22:16:15,083 : cannot get 2018/9 data
WARNING : 2019-11-09 22:16:15,083 : cannot get 2018/10 data
WARNING : 2019-11-09 22:16:15,084 : cannot get 2018/11 data
